Modelo,AUC,F1-Score,Precision,Recall,Taxa de Aprovação,Taxa de Inadimplência,Custo de Negócio
LogisticRegression,0.9801938406018469,0.9116263718128558,0.8565669095983873,0.9742504409171076,0.6449,0.025749559082892417,0.1655
RandomForest,0.9919612970498267,0.9444725738396624,0.9055016181229774,0.9869488536155203,0.618,0.013051146384479718,0.0954
LightGBM,0.9996281225688461,0.9898441603922256,0.98278859527121,0.9970017636684303,0.5752,0.002998236331569665,0.0184
XGBoost,0.9995619748198655,0.9875939192731086,0.9785318559556787,0.9968253968253968,0.5776,0.0031746031746031746,0.0214
Ensemble,0.9992705418494487,0.9874835886214443,0.9801911381407472,0.9948853615520282,0.5755,0.0051146384479717815,0.0259
