Modelo,AUC,F1-Score,Precision,Recall,Taxa de Aprovação,Taxa de Inadimplência,Custo de Negócio
LogisticRegression,0.9794624680767868,0.9074362548167583,0.8478627240692508,0.9760141093474427,0.6527,0.02398589065255732,0.1673
RandomForest,0.9919612970498267,0.9444725738396624,0.9055016181229774,0.9869488536155203,0.618,0.013051146384479718,0.0954
LightGBM,0.9996281225688461,0.9898441603922256,0.98278859527121,0.9970017636684303,0.5752,0.002998236331569665,0.0184
XGBoost,0.9995619748198655,0.9875939192731086,0.9785318559556787,0.9968253968253968,0.5776,0.0031746031746031746,0.0214
