Modelo,AUC,F1-Score,Precision,Recall,Brier Score,Log Loss,Taxa de Aprovação,Taxa de Inadimplência
CalibratedLogisticRegression,0.9768537051293018,0.8267659530458165,0.9994998749687422,0.7049382716049383,0.4431038111495439,2.0155637204929544,0.3999,0.29506172839506173
CalibratedRandomForest,0.9945429125375238,0.9674467710716173,0.9652387640449438,0.9696649029982364,0.028797252197895022,0.09612146649120143,0.5696,0.030335097001763667
CalibratedGradientBoosting,0.9995186773708714,0.9903990134766142,0.9892662326236142,0.9915343915343915,0.008386661517221693,0.028643550055644507,0.5683,0.008465608465608466
CalibratedSVM,0.9999883508274579,0.9983258436866684,0.9975347772495158,0.9991181657848325,0.009224348138406268,0.031729345198900805,0.5679,0.0008818342151675485
CalibratedNaiveBayes,0.874991161292162,0.8374538745387454,0.8779497098646035,0.8005291005291005,0.1305467076223254,0.4051156139789921,0.517,0.19947089947089947
CalibratedKNN,0.9493085645857008,0.8918113273715589,0.8866806136680614,0.8970017636684303,0.08878849995683925,0.2914808589813239,0.5736,0.10299823633156967
CalibratedEnsemble,0.9991382463514873,0.9874966746475127,0.9930444087747459,0.982010582010582,0.04573873490607116,0.20468196086901616,0.5607,0.01798941798941799
